Year,quarter,Geography,Enrollment Description,Race,Sex,Entitlement Status,Age,Rural/Urban Status,Total Telehealth Eligible Users,Total Medicare Part B Enrollment,Total Telehealth Users,Pct_Telehealth
2022,4,Kansas,All,All,All,All,All,All,278759.0,361027.66667,23500.0,0.0843
2022,4,Kentucky,All,All,All,All,All,All,339325.0,433277.33333,32412.0,0.0955
2022,4,Louisiana,All,All,All,All,All,All,303274.0,385879.33333,21984.0,0.0725
2022,4,Maine,All,All,All,All,All,All,105578.0,147898.66667,13803.0,0.1307
2022,4,Maryland,All,All,All,All,All,All,584895.0,744026.33333,108726.0,0.1859
2022,4,Massachusetts,All,All,All,All,All,All,660283.0,822809.66667,158902.0,0.2407
2022,4,Michigan,All,All,All,All,All,All,627604.0,824032.0,106486.0,0.1697
2022,4,Minnesota,All,All,All,All,All,All,295946.0,412948.66667,51659.0,0.1746
2022,4,Mississippi,All,All,All,All,All,All,291060.0,363159.33333,17579.0,0.0604
2022,4,Missouri,All,All,All,All,All,All,441949.0,579306.0,38098.0,0.0862
2022,4,Montana,All,All,All,All,All,All,116777.0,169722.33333,9998.0,0.0856
2022,4,Nebraska,All,All,All,All,All,All,174368.0,234096.66667,12864.0,0.0738
2022,4,Nevada,All,All,All,All,All,All,181669.0,253094.66667,26571.0,0.1463
2022,4,New Hampshire,All,All,All,All,All,All,148014.0,197318.0,24273.0,0.164
2022,4,New Jersey,All,All,All,All,All,All,723529.0,889488.0,133315.0,0.1843
2022,4,New Mexico,All,All,All,All,All,All,145769.0,207032.66667,24888.0,0.1707
2022,4,New York,All,All,All,All,All,All,1298922.0,1614267.3333,269476.0,0.2075
2022,4,North Carolina,All,All,All,All,All,All,753676.0,958435.66667,83832.0,0.1112
2022,4,North Dakota,All,All,All,All,All,All,66320.0,92184.666667,4544.0,0.0685
2022,4,Ohio,All,All,All,All,All,All,780095.0,1006387.0,89322.0,0.1145
2022,4,Oklahoma,All,All,All,All,All,All,340062.0,439192.66667,33821.0,0.0995
2022,4,Oregon,All,All,All,All,All,All,259611.0,377146.33333,43912.0,0.1691
2022,4,Pennsylvania,All,All,All,All,All,All,969322.0,1228501.3333,133408.0,0.1376
2022,4,Rhode Island,All,All,All,All,All,All,65080.0,81998.333333,12849.0,0.1974
2022,4,South Carolina,All,All,All,All,All,All,502655.0,623263.0,44671.0,0.0889
2022,4,South Dakota,All,All,All,All,All,All,84343.0,118571.33333,6093.0,0.0722
2022,4,Tennessee,All,All,All,All,All,All,505308.0,640799.33333,38027.0,0.0753
2022,4,Texas,All,All,All,All,All,All,1450680.0,1913773.6667,212222.0,0.1463
2022,4,Utah,All,All,All,All,All,All,147404.0,197696.33333,15105.0,0.1025
2022,4,Vermont,All,All,All,All,All,All,76287.0,103352.0,12578.0,0.1649
2022,4,Virginia,All,All,All,All,All,All,722522.0,920006.33333,87392.0,0.121
2022,4,Washington,All,All,All,All,All,All,497811.0,715046.0,76412.0,0.1535
2022,4,West Virginia,All,All,All,All,All,All,158330.0,206878.0,19797.0,0.125
2022,4,Wisconsin,All,All,All,All,All,All,374165.0,524111.33333,41610.0,0.1112
2022,4,Wyoming,All,All,All,All,All,All,69719.0,102212.33333,5333.0,0.0765
2023,1,Alabama,All,All,All,All,All,All,318126.0,399995.33333,22293.0,0.0701
2023,1,Alaska,All,All,All,All,All,All,63151.0,97045.666667,9716.0,0.1539
2023,1,Arizona,All,All,All,All,All,All,486150.0,632745.66667,74188.0,0.1526
2023,1,Arkansas,All,All,All,All,All,All,261628.0,337964.0,25285.0,0.0966
2023,1,California,All,All,All,All,All,All,2071032.0,2815134.3333,518150.0,0.2502
2023,1,Colorado,All,All,All,All,All,All,299398.0,414684.0,44854.0,0.1498
2023,1,Connecticut,All,All,All,All,All,All,213205.0,265720.0,35675.0,0.1673
2023,1,Delaware,All,All,All,All,All,All,122024.0,148507.66667,19805.0,0.1623
2023,1,District Of Columbia,All,All,All,All,All,All,37353.0,50939.666667,7284.0,0.195
2023,1,Florida,All,All,All,All,All,All,1611721.0,1967935.6667,204015.0,0.1266
2023,1,Georgia,All,All,All,All,All,All,599059.0,756629.33333,62109.0,0.1037
2023,1,Hawaii,All,All,All,All,All,All,75481.0,102807.66667,15567.0,0.2062
2023,1,Idaho,All,All,All,All,All,All,124912.0,178558.33333,9628.0,0.0771
2023,1,Illinois,All,All,All,All,All,All,910081.0,1201147.6667,109430.0,0.1202
2023,1,Indiana,All,All,All,All,All,All,480348.0,624236.66667,40834.0,0.085
2023,1,Iowa,All,All,All,All,All,All,292856.0,393621.33333,18924.0,0.0646
2023,1,Kansas,All,All,All,All,All,All,269830.0,350339.33333,20974.0,0.0777
2023,1,Kentucky,All,All,All,All,All,All,322448.0,413061.0,26465.0,0.0821
2023,1,Louisiana,All,All,All,All,All,All,295435.0,369711.0,19491.0,0.066
2023,1,Maine,All,All,All,All,All,All,98552.0,142372.33333,13676.0,0.1388
2023,1,Maryland,All,All,All,All,All,All,569757.0,721797.66667,101878.0,0.1788
2023,1,Massachusetts,All,All,All,All,All,All,635008.0,804962.33333,147957.0,0.233
2023,1,Michigan,All,All,All,All,All,All,579101.0,776177.0,95772.0,0.1654
2023,1,Minnesota,All,All,All,All,All,All,275937.0,393861.33333,50533.0,0.1831
2023,1,Mississippi,All,All,All,All,All,All,280469.0,347052.0,16197.0,0.0577
2023,1,Missouri,All,All,All,All,All,All,410815.0,547735.66667,32823.0,0.0799
2023,1,Montana,All,All,All,All,All,All,113840.0,165534.0,9128.0,0.0802
2023,1,Nebraska,All,All,All,All,All,All,167109.0,225764.0,12127.0,0.0726
2023,1,Nevada,All,All,All,All,All,All,175233.0,243102.66667,25495.0,0.1455
2023,1,New Hampshire,All,All,All,All,All,All,138200.0,189607.33333,23250.0,0.1682
2023,1,New Jersey,All,All,All,All,All,All,706220.0,871166.33333,121804.0,0.1725
2023,1,New Mexico,All,All,All,All,All,All,141733.0,199081.66667,20605.0,0.1454
2023,1,New York,All,All,All,All,All,All,1249093.0,1577537.6667,248520.0,0.199
2023,1,North Carolina,All,All,All,All,All,All,720412.0,902396.33333,75732.0,0.1051
2023,1,North Dakota,All,All,All,All,All,All,61381.0,87921.333333,4314.0,0.0703
2023,1,Ohio,All,All,All,All,All,All,743306.0,968006.66667,80481.0,0.1083
2023,1,Oklahoma,All,All,All,All,All,All,329314.0,422440.66667,33052.0,0.1004
2023,1,Oregon,All,All,All,All,All,All,249665.0,363828.66667,39339.0,0.1576
2023,1,Pennsylvania,All,All,All,All,All,All,933075.0,1188175.6667,119839.0,0.1284
2023,1,Rhode Island,All,All,All,All,All,All,61849.0,78777.666667,11330.0,0.1832
2023,1,South Carolina,All,All,All,All,All,All,496269.0,605936.0,41903.0,0.0844
2023,1,South Dakota,All,All,All,All,All,All,78664.0,113705.0,5772.0,0.0734
2023,1,Tennessee,All,All,All,All,All,All,486298.0,615971.66667,36710.0,0.0755
2023,1,Texas,All,All,All,All,All,All,1394999.0,1828502.3333,206530.0,0.1481
2023,1,Utah,All,All,All,All,All,All,139941.0,189088.66667,14290.0,0.1021
2023,1,Vermont,All,All,All,All,All,All,71290.0,99178.333333,10994.0,0.1542
2023,1,Virginia,All,All,All,All,All,All,705804.0,891196.66667,80212.0,0.1136
2023,1,Washington,All,All,All,All,All,All,480074.0,685196.0,66269.0,0.138
2023,1,West Virginia,All,All,All,All,All,All,146165.0,192640.0,15419.0,0.1055
2023,1,Wisconsin,All,All,All,All,All,All,349798.0,502239.66667,39178.0,0.112
2023,1,Wyoming,All,All,All,All,All,All,65527.0,97465.0,5170.0,0.0789
2023,2,Alabama,All,All,All,All,All,All,314815.0,396284.33333,18643.0,0.0592
2023,2,Alaska,All,All,All,All,All,All,65741.0,98164.333333,8990.0,0.1367
2023,2,Arizona,All,All,All,All,All,All,491203.0,634660.33333,66954.0,0.1363
2023,2,Arkansas,All,All,All,All,All,All,262882.0,335594.33333,20129.0,0.0766
2023,2,California,All,All,All,All,All,All,2093572.0,2821965.0,476839.0,0.2278
2023,2,Colorado,All,All,All,All,All,All,306709.0,415904.66667,37488.0,0.1222
2023,2,Connecticut,All,All,All,All,All,All,214998.0,264411.66667,29839.0,0.1388
2023,2,Delaware,All,All,All,All,All,All,122825.0,148801.0,17420.0,0.1418
2023,2,District Of Columbia,All,All,All,All,All,All,37608.0,50760.0,6964.0,0.1852
2023,2,Florida,All,All,All,All,All,All,1617507.0,1964105.3333,189077.0,0.1169
2023,2,Georgia,All,All,All,All,All,All,593698.0,754776.66667,55376.0,0.0933
2023,2,Hawaii,All,All,All,All,All,All,75867.0,102738.33333,14847.0,0.1957
2023,2,Idaho,All,All,All,All,All,All,129189.0,178534.33333,8201.0,0.0635
2023,2,Illinois,All,All,All,All,All,All,930191.0,1199587.3333,96835.0,0.1041
2023,2,Indiana,All,All,All,All,All,All,487761.0,622503.66667,34131.0,0.07
2023,2,Iowa,All,All,All,All,All,All,304476.0,392042.0,16108.0,0.0529
2023,2,Kansas,All,All,All,All,All,All,272702.0,350113.0,17733.0,0.065
2023,2,Kentucky,All,All,All,All,All,All,322316.0,409811.33333,22736.0,0.0705
2023,2,Louisiana,All,All,All,All,All,All,290617.0,365306.66667,18032.0,0.062
2023,2,Maine,All,All,All,All,All,All,102011.0,140971.33333,11115.0,0.109
2023,2,Maryland,All,All,All,All,All,All,572346.0,723189.0,89552.0,0.1565
2023,2,Massachusetts,All,All,All,All,All,All,652099.0,805429.33333,129986.0,0.1993
2023,2,Michigan,All,All,All,All,All,All,596039.0,771575.0,83307.0,0.1398
2023,2,Minnesota,All,All,All,All,All,All,288894.0,393227.0,43448.0,0.1504
2023,2,Mississippi,All,All,All,All,All,All,276503.0,343093.33333,15321.0,0.0554
2023,2,Missouri,All,All,All,All,All,All,419611.0,545681.33333,27817.0,0.0663
2023,2,Montana,All,All,All,All,All,All,118234.0,166312.0,7709.0,0.0652
2023,2,Nebraska,All,All,All,All,All,All,169762.0,225199.66667,10709.0,0.0631
2023,2,Nevada,All,All,All,All,All,All,178082.0,243412.66667,23108.0,0.1298
2023,2,New Hampshire,All,All,All,All,All,All,144196.0,189570.33333,19194.0,0.1331
2023,2,New Jersey,All,All,All,All,All,All,713230.0,872204.33333,105273.0,0.1476
2023,2,New Mexico,All,All,All,All,All,All,142648.0,199060.66667,18547.0,0.13
2023,2,New York,All,All,All,All,All,All,1271637.0,1572207.6667,226130.0,0.1778
2023,2,North Carolina,All,All,All,All,All,All,710570.0,898316.33333,64257.0,0.0904
2023,2,North Dakota,All,All,All,All,All,All,65036.0,87931.333333,3789.0,0.0583
2023,2,Ohio,All,All,All,All,All,All,755961.0,967046.33333,67139.0,0.0888
2023,2,Oklahoma,All,All,All,All,All,All,330182.0,421123.0,26551.0,0.0804
2023,2,Oregon,All,All,All,All,All,All,257162.0,364202.66667,35212.0,0.1369
2023,2,Pennsylvania,All,All,All,All,All,All,941920.0,1185576.3333,101226.0,0.1075
2023,2,Rhode Island,All,All,All,All,All,All,62578.0,77923.666667,9454.0,0.1511
