Year,Quarter,Geography,Total Telehealth Eligible Users,Total Medicare Part B Enrollment,Total Telehealth Users,Pct_Telehealth,Real_GDP,Total_Population,Total_Male_Population%,Total_Female_Population%,Population_Under5%,Population5_17%,Population18_24%,Population25_34%,Population35_44%,Population45_54%,Population55_64%,Population65_74%,Population_Over75%,Less_Than_High_School_Diploma%,High_School_Graduate%,Some_College_or_Associate Degree%,Bachelor_Degree%,Graduate_Or_Professional_Degree%,UnemploymentRate%,Private_Health_Insurance%,Public_Health_Insurance_Coverage%,No_Health_Insurance_Coverage%,Povery_Rate%,White,Black,Hispanic,Asian,American Indian or Alaska Native,Multiple Races
2020,1,Georgia,679370.0,883972.33333,31401.0,0.0462,604745.9,10617423,48.7,51.3,6.0,17.5,9.7,13.7,13.2,13.2,12.2,8.8,5.6,12.1,27.4,28.0,19.9,12.6,4.8,65.8,31.4,13.4,13.3,0.52,0.313,0.098,0.041,0.002,0.025
2020,1,Hawaii,78080.0,108878.33333,4085.0,0.0523,79840.1,1415872,50.0,50.0,6.0,15.2,8.4,13.8,13.1,11.9,12.6,10.8,8.2,7.6,27.4,31.3,22.1,11.6,3.9,76.1,36.3,4.2,9.3,0.204,0.012,0.103,0.394,0.001,0.184
2020,1,Idaho,131428.0,193811.0,5863.0,0.0446,82717.4,1787065,50.3,49.7,6.5,18.7,9.3,13.1,12.6,11.3,12.3,9.7,6.4,8.5,26.1,36.6,18.8,9.9,3.3,70.0,32.5,10.8,11.2,0.816,0.007,0.129,0.012,0.009,0.026
2020,1,Illinois,1008907.0,1381844.3333,66720.0,0.0661,810200.9,12671821,49.1,50.9,5.9,16.4,9.2,13.8,13.0,12.6,13.1,9.3,6.8,10.2,25.9,28.1,21.7,14.1,4.8,70.1,33.5,7.4,11.5,0.609,0.136,0.176,0.056,0.001,0.022
2020,1,Indiana,546540.0,733458.66667,25330.0,0.0463,359787.3,6732219,49.3,50.7,6.2,17.1,9.8,13.2,12.3,12.3,13.0,9.5,6.6,10.4,33.9,28.7,17.3,9.7,4.2,69.5,33.7,8.7,11.9,0.786,0.092,0.072,0.024,0.002,0.023
2020,1,Iowa,307276.0,431868.0,13332.0,0.0434,186328.2,3155070,49.8,50.2,6.0,16.8,9.8,12.7,12.4,11.4,13.3,9.9,7.7,7.4,31.0,32.3,19.8,9.5,3.7,73.2,36.1,5.0,11.2,0.853,0.039,0.063,0.023,0.003,0.019
2020,1,Kansas,284569.0,383753.33333,11393.0,0.04,168056.8,2913314,49.6,50.4,6.3,17.7,10.1,13.0,12.5,11.2,12.8,9.4,7.0,8.2,26.3,31.5,21.6,12.4,3.8,74.4,29.6,9.2,11.4,0.757,0.055,0.122,0.028,0.006,0.032
2020,1,Kentucky,394957.0,521941.0,22482.0,0.0569,206049.6,4467673,49.2,50.8,6.1,16.3,9.3,12.9,12.5,12.6,13.4,10.2,6.7,12.8,33.2,28.8,14.9,10.3,4.8,63.7,43.2,6.4,16.3,0.845,0.08,0.037,0.016,0.001,0.02
2020,1,Louisiana,349854.0,453178.0,24133.0,0.069,228951.3,4648794,48.8,51.2,6.3,17.0,9.1,13.8,13.1,11.7,13.0,9.6,6.4,14.0,33.9,27.0,16.0,8.9,5.5,57.8,44.3,8.9,19.0,0.588,0.319,0.052,0.017,0.005,0.019
2020,1,Maine,126595.0,183601.33333,9229.0,0.0729,67410.9,1344212,48.8,51.2,4.7,13.7,7.9,12.2,11.4,13.1,15.7,12.6,8.7,6.8,31.4,28.6,20.8,12.4,3.5,69.5,38.6,8.0,10.9,0.932,0.014,0.017,0.011,0.007,0.019
2020,1,Maryland,592958.0,772851.33333,44146.0,0.0745,388782.8,6045680,48.4,51.6,5.9,16.1,8.8,13.6,13.0,13.2,13.6,9.3,6.5,9.6,24.6,24.9,21.8,19.1,4.5,74.0,33.5,6.0,9.0,0.499,0.296,0.106,0.064,0.002,0.032
2020,1,Massachusetts,654249.0,851664.66667,89248.0,0.1364,559765.0,6892503,48.5,51.5,5.2,14.5,10.0,14.4,12.3,13.0,13.7,9.8,7.2,8.7,23.9,22.5,24.7,20.3,3.9,74.3,36.1,3.0,9.4,0.705,0.07,0.124,0.067,0.002,0.032
2020,1,Michigan,703479.0,968128.33333,57354.0,0.0815,501893.8,9986857,49.2,50.8,5.7,15.8,9.5,13.0,11.8,12.5,14.0,10.4,7.3,8.6,29.1,32.2,18.2,11.9,5.0,71.0,38.8,5.8,13.0,0.749,0.134,0.053,0.032,0.005,0.027
2020,1,Minnesota,313539.0,460914.66667,28165.0,0.0898,357475.6,5639632,49.7,50.3,6.2,16.9,8.7,13.6,13.0,11.9,13.4,9.5,6.9,6.4,24.4,31.9,24.5,12.7,3.2,75.9,32.9,4.9,9.0,0.791,0.064,0.056,0.049,0.009,0.03
2020,1,Mississippi,336537.0,429736.0,22001.0,0.0654,110322.8,2976149,48.2,51.8,6.0,17.4,10.0,12.4,12.8,12.1,12.9,9.7,6.6,14.7,30.2,32.8,13.7,8.6,6.6,58.7,39.4,13.0,19.6,0.566,0.376,0.03,0.01,0.004,0.014
2020,1,Missouri,476611.0,655590.0,22368.0,0.0469,315332.6,6137428,49.0,51.0,6.0,16.4,9.1,13.4,12.3,11.9,13.6,9.9,7.3,9.3,31.1,29.3,18.4,11.8,3.8,69.7,32.2,10.0,12.9,0.794,0.112,0.043,0.021,0.004,0.026
2020,1,Montana,111620.0,169378.66667,5302.0,0.0475,49981.4,1068778,50.3,49.7,5.5,15.7,9.4,12.5,12.4,11.0,14.2,11.8,7.6,5.8,28.4,32.2,23.1,10.5,4.1,66.3,40.6,8.3,12.6,0.861,0.006,0.037,0.008,0.061,0.028
2020,1,Nebraska,180789.0,252909.33333,6364.0,0.0352,126734.9,1934408,50.0,50.0,6.7,17.9,9.7,13.3,12.6,11.2,12.5,9.3,6.9,8.0,25.7,33.1,21.8,11.4,3.3,75.2,28.3,8.3,9.9,0.785,0.048,0.113,0.024,0.008,0.021
